gender,marriage,edu,job,mincome,aware,count,amount,decision,propensity,skin,promo,location,satisf_b,satisf_i,satisf_al,repurchase
2,2,6,3,4,1,1,100000,3,2,1,2,1,3,3,3,3
2,2,4,7,4,1,2,50000,3,1,5,2,2,3,2,3,4
2,2,4,4,2,2,12,20000,2,2,3,2,3,3,3,3,3
1,1,4,4,4,2,4,35000,2,2,1,3,2,3,3,4,4
1,1,4,4,4,2,4,30000,2,2,1,2,3,3,4,4,3
2,2,4,7,1,2,2,50000,1,1,3,2,5,3,4,4,4
2,2,4,7,1,2,3,50000,1,2,3,2,5,3,3,3,3
2,1,4,4,2,2,7,80000,3,2,3,2,2,3,3,3,3
1,1,4,1,3,2,6,20000,3,1,3,1,3,2,3,4,4
1,1,4,10,2,2,2,25000,3,1,3,2,3,3,4,4,4
2,1,3,8,1,1,7,100000,2,1,5,2,3,3,3,1,2
1,2,4,4,3,2,2,50000,1,2,5,2,2,3,4,3,3
1,2,4,4,5,2,1,80000,2,2,1,2,3,3,3,3,3
2,2,6,7,5,1,2,300000,3,3,2,3,2,3,4,3,3
2,2,7,7,4,1,2,200000,2,2,4,3,2,3,3,3,3
1,1,2,1,2,2,5,3000,1,1,2,1,1,1,1,1,1
1,1,4,2,3,2,6,4000,1,1,1,1,4,2,1,1,1
2,2,4,4,2,1,10,150000,3,2,2,1,2,3,4,4,4
2,2,7,8,1,2,3,100000,1,2,1,1,5,2,5,4,4
1,1,4,6,1,3,2,20000,3,1,1,1,3,4,3,3,2
2,2,6,10,1,1,10,1000000,3,2,3,1,3,2,3,3,3
